t,value
1,96.74
2,93.45
3,90.92
4,88.83
5,88.82
6,88.82
7,88.82
8,89.27
9,90.92
10,88.82
11,88.82
12,88.82
13,87.06
14,88.82
15,95.02
16,101.12
17,111.26
18,120.03
19,120.03
20,120.03
21,119.27
22,104.97
23,101.19
24,98.78
25,65.42
26,65.41
27,65.41
28,65.41
29,65.41
30,65.42
31,73.27
32,83.26
33,84.1
34,83.26
35,78.34
36,73.27
37,73.95
38,73.95
39,88.51
40,98.49
41,105.21
42,119.55
43,119.55
44,119.55
45,116.59
46,105.58
47,104.82
48,98.49
49,92.27
50,88.49
51,88.49
52,88.49
53,88.5
54,95.27
55,102.44
56,113.3
57,123.22
58,123.22
59,115.6
60,110.9
61,110.9
62,110.9
63,121.59
64,136.18
65,147.62
66,149.11
67,149.11
68,149.1
69,146.14
70,144.5
71,131.36
72,115.6
73,107.75
74,107.75
75,107.75
76,107.75
77,107.75
78,107.75
79,114.19
80,138.68
81,139.2
82,138.68
83,124.93
84,107.77
85,107.76
86,107.77
87,111.25
88,133.46
89,146.14
90,146.15
91,146.15
92,146.14
93,146.04
94,143.22
95,127.17
96,121.59
97,107.63
98,101.99
99,101.28
100,101.28
101,101.28
102,101.28
103,102.82
104,118.66
105,125.3
106,108.27
107,99.84
108,99.15
109,99.14
110,99.15
111,101.27
112,121.6
113,136.86
114,143.21
115,140.36
116,136.85
117,136.85
118,121.6
119,111.81
120,104.97
121,100.7
122,96.74
123,94.07
124,93.77
125,93.12
126,90.95
127,89.91
128,93.84
129,99.87
130,94.96
131,88.83
132,88.82
133,88.82
134,88.83
135,91.37
136,101.83
137,120.02
138,120.04
139,120.03
140,120.03
141,104.96
142,98.77
143,98.78
144,98.2
145,96.74
146,93.45
147,90.92
148,88.83
149,88.82
150,88.82
151,88.82
152,89.27
153,90.92
154,88.82
155,88.82
156,88.82
157,87.06
158,88.82
159,95.02
160,101.12
161,111.26
162,120.03
163,120.03
164,120.03
165,119.27
166,104.97
167,101.19
168,98.78
169,84.1
170,84.1
171,84.09
172,84.1
173,84.1
174,88.82
175,92.4
176,102.43
177,115.85
178,118.41
179,118.42
180,119.65
181,122.09
182,125.94
183,131.69
184,131.69
185,131.69
186,131.69
187,131.69
188,131.69
189,118.41
190,110.07
191,103.99
192,99.29
193,97.45
194,97.45
195,97.45
196,97.45
197,97.45
198,97.46
199,101.61
200,125.89
201,145.31
202,145.32
203,144.67
204,137.58
205,130.79
206,140.74
207,146.13
208,146.14
209,146.15
210,146.17
211,146.16
212,146.15
213,146.14
214,140.72
215,121.6
216,113.5
217,107.19
218,103.91
219,103.91
220,103.91
221,103.91
222,103.91
223,111.17
224,129.75
225,147.59
226,147.61
227,147.61
228,147.59
229,147.61
230,147.61
231,147.61
232,147.62
233,147.68
234,147.69
235,147.69
236,147.66
237,147.61
238,146.14
239,129.26
240,118.4
241,104.86
242,103.9
243,103.89
244,103.89
245,103.89
246,103.9
247,125.8
248,140.4
249,144.67
250,140.4
251,121.13
252,121.12
253,121.13
254,134.58
255,134.59
256,121.13
257,121.13
258,134.59
259,134.59
260,119.18
261,113.5
262,102.28
263,95.64
264,86.75
265,86.7
266,86.69
267,86.69
268,86.69
269,86.69
270,86.69
271,96.45
272,110.29
273,113.3
274,110.29
275,94.51
276,92.63
277,92.63
278,93.4
279,101.86
280,117.96
281,128.52
282,146.15
283,146.15
284,146.14
285,128.6
286,118.41
287,118.31
288,115.6
289,107.52
290,102.33
291,99.82
292,99.44
293,99.44
294,99.44
295,99.43
296,111.23
297,121.7
298,121.7
299,115.56
300,114.4
301,109.53
302,109.54
303,120.64
304,125.18
305,125.18
306,125.18
307,125.17
308,114.29
309,103.95
310,99.7
311,95.65
312,84.1
313,74.77
314,74.76
315,74.76
316,74.76
317,74.76
318,74.75
319,74.75
320,74.76
321,74.76
322,74.76
323,74.76
324,74.76
325,74.76
326,74.76
327,74.76
328,89.68
329,98.19
330,110.37
331,110.37
332,110.38
333,110.37
334,108.11
335,103.03
336,98.55
337,96.32
338,96.31
339,96.32
340,96.33
341,98.49
342,100.78
343,128.88
344,150.09
345,159.17
346,159.18
347,159.18
348,159.17
349,159.17
350,159.17
351,159.17
352,159.17
353,159.17
354,159.17
355,159.17
356,157.25
357,141.26
358,125.89
359,118.01
360,105.55
361,105.36
362,105.36
363,105.36
364,105.36
365,105.36
366,105.37
367,114.27
368,142.39
369,142.39
370,142.39
371,125.91
372,118.0
373,115.82
374,115.81
375,115.82
376,141.34
377,142.39
378,143.54
379,142.4
380,142.39
381,142.38
382,118.01
383,105.48
384,104.83
385,99.85
386,96.21
387,96.21
388,96.21
389,96.21
390,96.45
391,104.07
392,118.02
393,144.68
394,146.13
395,144.68
396,144.05
397,122.3
398,130.21
399,130.21
400,146.13
401,146.14
402,156.01
403,156.01
404,156.01
405,147.67
406,144.59
407,128.92
408,115.6
409,108.15
410,108.14
411,108.14
412,108.14
413,108.14
414,108.15
415,129.75
416,146.14
417,146.15
418,144.88
419,118.02
420,108.15
421,108.15
422,108.15
423,108.2
424,144.57
425,146.16
426,146.17
427,146.16
428,146.16
429,146.15
430,128.92
431,120.6
432,110.12
433,108.16
434,108.16
435,108.16
436,108.16
437,108.16
438,108.16
439,143.23
440,159.18
441,164.73
442,164.73
443,160.79
444,160.8
445,164.73
446,164.73
447,164.73
448,164.75
449,169.29
450,169.81
451,169.29
452,169.29
453,164.73
454,160.79
455,149.11
456,147.61
457,128.93
458,121.32
459,116.53
460,116.48
461,116.48
462,116.48
463,117.48
464,132.27
465,132.49
466,132.5
467,132.49
468,126.57
469,123.9
470,116.09
471,116.08
472,116.09
473,134.69
474,148.36
475,148.51
476,147.09
477,146.14
478,130.8
479,121.67
480,116.08
481,114.28
482,111.78
483,111.78
484,111.78
485,111.78
486,111.78
487,111.78
488,116.08
489,120.66
490,136.38
491,136.41
492,126.48
493,122.78
494,122.77
495,124.07
496,137.64
497,150.01
498,160.73
499,160.73
500,160.73
501,159.51
502,151.37
503,147.62
504,128.92
505,120.2
506,118.94
507,118.94
508,118.94
509,118.94
510,127.47
511,152.9
512,325.87
513,325.87
514,325.87
515,301.34
516,241.15
517,241.14
518,241.14
519,241.15
520,325.87
521,1000.0
522,1000.0
523,1000.0
524,1000.0
525,1000.0
526,325.87
527,241.15
528,229.3
529,159.19
530,146.97
531,146.96
532,146.96
533,146.96
534,147.62
535,231.44
536,989.96
537,989.96
538,989.96
539,989.96
540,989.75
541,890.96
542,890.96
543,890.96
544,909.09
545,1000.0
546,1000.0
547,1000.0
548,1000.0
549,989.99
550,970.26
551,722.53
552,192.54
553,155.42
554,147.62
555,147.62
556,147.62
557,147.62
558,150.06
559,722.53
560,1000.0
561,1000.0
562,1000.0
563,1000.0
564,1000.0
565,1000.0
566,1000.0
567,1000.0
568,1000.0
569,1000.0
570,1000.0
571,1000.0
572,1000.0
573,1000.0
574,1000.0
575,1000.0
576,740.0
577,206.71
578,165.76
579,165.76
580,165.76
581,165.76
582,167.5
583,999.99
584,1000.0
585,1000.0
586,1000.0
587,1000.0
588,1000.0
589,900.0
590,900.0
591,900.0
592,1000.0
593,1000.0
594,1000.0
595,1000.0
596,1000.0
597,1000.0
598,899.98
599,162.37
600,148.36
601,138.7
602,127.98
603,127.98
604,127.98
605,127.98
606,131.54
607,155.49
608,172.95
609,172.95
610,170.59
611,156.01
612,145.49
613,132.52
614,132.52
615,132.52
616,145.5
617,147.25
618,147.25
619,147.25
620,138.8
621,117.01
622,111.7
623,108.48
624,108.48
625,104.68
626,99.01
627,97.25
628,97.25
629,97.24
630,97.24
631,97.24
632,106.08
633,115.6
634,115.61
635,115.61
636,115.61
637,104.59
638,104.04
639,104.04
640,104.05
641,129.3
642,131.4
643,129.31
644,120.8
645,115.6
646,114.27
647,107.59
648,103.27
649,98.79
650,96.02
651,95.05
652,95.05
653,95.05
654,95.05
655,95.05
656,97.25
657,100.78
658,101.96
659,98.9
660,97.12
661,95.26
662,95.06
663,95.1
664,97.29
665,98.58
666,110.21
667,110.22
668,110.21
669,104.77
670,99.19
671,99.19
672,99.19
673,99.1
674,95.05
675,95.05
676,95.05
677,95.05
678,97.33
679,112.87
680,128.44
681,128.45
682,128.44
683,128.43
684,102.65
685,99.29
686,99.29
687,99.29
688,114.28
689,128.43
690,128.43
691,128.43
692,121.58
693,115.58
694,104.84
695,102.44
696,99.82
697,87.86
698,87.85
699,87.84
700,87.85
701,87.86
702,92.34
703,109.01
704,117.95
705,118.7
706,117.94
707,103.25
708,100.04
709,92.41
710,91.21
711,92.41
712,97.14
713,104.12
714,105.35
715,104.16
716,103.25
717,96.06
718,85.8
719,83.82
720,83.26
721,83.26
722,83.26
723,83.26
724,83.26
725,83.26
726,83.29
727,93.93
728,109.17
729,109.19
730,109.17
731,106.98
732,100.45
733,91.88
734,92.8
735,93.73
736,93.75
737,97.98
738,105.22
739,105.21
740,105.19
741,99.89
742,87.57
743,84.1
744,83.26
745,83.26
746,83.26
747,83.26
748,83.26
749,83.26
750,83.26
751,95.88
752,112.5
753,112.51
754,112.5
755,101.33
756,92.35
757,85.01
758,88.17
759,97.4
760,104.83
761,114.78
762,117.8
763,115.61
764,115.6
765,114.3
766,112.51
767,104.12
768,98.7
769,92.33
770,83.28
771,83.26
772,83.26
773,83.25
774,83.26
775,84.94
776,106.68
777,112.38
778,106.68
779,98.34
780,82.43
781,80.76
782,80.76
783,80.76
784,82.38
785,83.26
786,93.34
787,97.06
788,93.34
789,84.1
790,82.42
791,74.0
792,72.54
793,7.75
794,7.74
795,7.74
796,7.74
797,7.74
798,7.74
799,7.74
800,7.74
801,7.74
802,7.74
803,7.74
804,7.74
805,7.74
806,7.74
807,7.75
808,44.55
809,74.02
810,81.57
811,82.41
812,81.57
813,81.57
814,81.57
815,80.77
816,74.0
817,72.53
818,60.75
819,60.36
820,60.36
821,60.36
822,60.36
823,60.36
824,60.36
825,73.26
826,73.27
827,76.79
828,75.23
829,78.34
830,76.76
831,80.76
832,84.96
833,97.08
834,101.84
835,105.61
836,105.61
837,102.28
838,100.17
839,98.99
840,97.76
841,96.67
842,93.99
843,92.58
844,92.55
845,94.67
846,99.58
847,113.61
848,122.44
849,113.61
850,110.24
851,110.23
852,101.24
853,96.48
854,85.82
855,84.96
856,85.8
857,85.84
858,101.23
859,102.06
860,101.23
861,98.48
862,90.9
863,84.09
864,82.43
865,81.57
866,81.57
867,81.57
868,81.57
869,81.57
870,81.58
871,84.11
872,101.68
873,103.55
874,101.67
875,99.61
876,85.82
877,84.1
878,85.8
879,85.81
880,92.28
881,98.48
882,107.91
883,110.24
884,108.1
885,108.05
886,99.51
887,95.35
888,85.51
889,81.58
890,81.58
891,81.58
892,81.58
893,81.58
894,83.24
895,98.47
896,110.07
897,112.9
898,110.07
899,98.58
900,84.1
901,84.1
902,84.1
903,84.1
904,92.29
905,102.05
906,117.82
907,115.63
908,115.62
909,114.46
910,112.94
911,101.84
912,99.86
913,92.29
914,89.57
915,88.97
916,88.96
917,88.96
918,90.61
919,101.24
920,110.32
921,115.7
922,115.7
923,110.14
924,104.37
925,104.13
926,114.23
927,117.78
928,127.07
929,127.25
930,144.64
931,144.67
932,144.64
933,140.37
934,135.77
935,127.07
936,115.61
937,114.23
938,106.73
939,100.79
940,100.78
941,100.79
942,100.8
943,117.24
944,127.07
945,127.07
946,127.06
947,117.95
948,111.21
949,100.71
950,98.29
951,100.73
952,103.25
953,119.19
954,121.88
955,119.2
956,119.2
957,115.6
958,102.52
959,100.32
960,98.72
961,92.28
962,84.1
963,83.26
964,78.66
965,83.24
966,76.3
967,83.26
968,84.1
969,84.1
970,83.26
971,72.53
972,44.55
973,10.06
974,10.06
975,10.06
976,56.54
977,76.4
978,83.26
979,83.25
980,82.42
981,76.4
982,74.01
983,74.0
984,10.01
985,7.75
986,7.75
987,7.75
988,7.75
989,7.75
990,7.74
991,7.74
992,7.75
993,7.75
994,7.75
995,7.74
996,7.74
997,7.74
998,7.74
999,7.74
1000,7.75
1001,8.05
1002,73.27
1003,73.99
1004,73.98
1005,66.63
1006,66.6
1007,66.6
1008,66.59
1009,49.28
1010,48.61
1011,48.61
1012,48.61
1013,48.61
1014,48.61
1015,49.29
1016,82.42
1017,82.43
1018,82.43
1019,82.42
1020,74.18
1021,74.17
1022,74.18
1023,74.19
1024,83.26
1025,98.02
1026,99.01
1027,99.03
1028,99.01
1029,99.01
1030,88.93
1031,83.25
1032,80.78
1033,73.27
1034,73.27
1035,73.27
1036,73.27
1037,73.27
1038,73.27
1039,83.26
1040,97.9
1041,99.58
1042,97.5
1043,98.39
1044,100.42
1045,102.23
1046,105.3
1047,115.95
1048,115.95
1049,115.95
1050,115.95
1051,115.95
1052,115.92
1053,109.45
1054,101.71
1055,97.4
1056,95.97
1057,85.81
1058,85.81
1059,85.81
1060,85.81
1061,85.81
1062,88.26
1063,97.96
1064,110.4
1065,118.08
1066,112.72
1067,110.39
1068,101.44
1069,101.45
1070,101.45
1071,111.72
1072,114.38
1073,132.36
1074,132.86
1075,141.24
1076,132.86
1077,132.37
1078,121.59
1079,114.28
1080,104.55
1081,97.95
1082,97.93
1083,97.93
1084,97.93
1085,97.93
1086,97.95
1087,113.25
1088,144.68
1089,145.95
1090,144.68
1091,127.23
1092,108.51
1093,108.04
1094,108.04
1095,112.33
1096,125.84
1097,146.14
1098,160.72
1099,162.5
1100,160.74
1101,160.71
1102,151.57
1103,144.8
1104,131.87
1105,113.89
1106,113.89
1107,113.89
1108,113.89
1109,113.89
1110,113.89
1111,146.14
1112,157.58
1113,157.58
1114,153.91
1115,131.23
1116,113.89
1117,113.89
