t,value
1,22.5
2,22.5
3,22.5
4,22.5
5,22.5
6,22.5
7,22.5
8,22.5
9,22.5
10,22.5
11,22.5
12,22.5
13,22.5
14,22.5
15,22.5
16,22.5
17,22.5
18,22.5
19,22.5
20,22.5
21,22.5
22,22.5
23,22.5
24,22.5
25,22.5
26,22.5
27,22.5
28,22.5
29,22.5
30,22.5
31,22.5
32,22.5
33,22.5
34,22.5
35,22.5
36,22.5
37,22.5
38,22.5
39,22.5
40,22.5
41,22.5
42,22.5
43,22.5
44,22.5
45,22.5
46,22.5
47,22.5
48,22.5
49,22.5
50,22.5
51,22.5
52,22.5
53,22.5
54,22.5
55,22.5
56,22.5
57,22.5
58,22.5
59,22.5
60,22.5
61,22.5
62,22.5
63,22.5
64,22.5
65,22.5
66,22.5
67,22.5
68,22.5
69,22.5
70,22.5
71,22.5
72,22.5
73,22.5
74,22.5
75,22.5
76,22.5
77,22.5
78,22.5
79,22.5
80,22.72
81,22.73
82,22.73
83,22.73
84,22.73
85,22.73
86,22.73
87,23.2
88,23.67
89,23.91
90,23.43
91,23.2
92,23.19
93,22.96
94,22.73
95,22.73
96,22.5
97,22.5
98,22.5
99,22.5
100,22.5
101,22.5
102,22.73
103,23.43
104,32.92
105,32.92
106,32.92
107,30.0
108,29.63
109,32.92
110,32.92
111,32.92
112,32.92
113,32.92
114,32.92
115,32.92
116,32.92
117,32.92
118,30.52
119,25.48
120,23.67
121,22.96
122,22.73
123,22.5
124,22.5
125,22.5
126,22.5
127,22.5
128,25.0
129,25.0
130,22.5
131,22.5
132,22.5
133,22.5
134,22.5
135,22.5
136,22.5
137,22.5
138,22.5
139,22.5
140,22.5
141,22.5
142,22.5
143,22.5
144,22.5
145,22.5
146,22.5
147,22.5
148,22.5
149,22.5
150,22.5
151,22.5
152,22.5
153,22.5
154,22.5
155,22.5
156,22.5
157,22.5
158,22.5
159,22.5
160,22.5
161,22.96
162,23.43
163,23.19
164,23.43
165,22.96
166,22.5
167,22.5
168,22.5
169,22.5
170,22.5
171,22.5
172,22.73
173,22.5
174,22.71
175,22.5
176,23.19
177,23.43
178,22.73
179,22.5
180,22.73
181,22.73
182,23.19
183,25.34
184,26.47
185,23.43
186,22.73
187,22.5
188,22.5
189,22.5
190,22.5
191,22.5
192,22.5
193,22.5
194,22.5
195,22.5
196,22.5
197,22.5
198,22.5
199,22.5
200,22.5
201,22.5
202,22.5
203,22.5
204,22.5
205,22.5
206,22.5
207,22.5
208,22.5
209,22.5
210,22.5
211,22.5
212,22.5
213,22.5
214,22.5
215,22.5
216,22.5
217,27.52
218,27.52
219,27.52
220,27.52
221,27.52
222,27.52
223,44.15
224,50.03
225,50.03
226,50.03
227,50.03
228,50.03
229,50.03
230,50.03
231,50.03
232,50.03
233,50.03
234,44.15
235,23.43
236,23.43
237,23.43
238,23.43
239,23.43
240,23.43
241,23.43
242,23.43
243,23.43
244,23.43
245,23.43
246,23.43
247,23.43
248,23.43
249,23.43
250,23.43
251,23.43
252,23.43
253,23.43
254,23.43
255,23.43
256,23.43
257,23.43
258,27.3
259,23.43
260,23.43
261,23.43
262,23.43
263,23.43
264,23.43
265,23.43
266,23.43
267,23.43
268,23.43
269,23.43
270,23.43
271,23.43
272,23.43
273,23.91
274,27.44
275,23.43
276,23.91
277,23.43
278,23.43
279,24.83
280,30.0
281,38.62
282,38.62
283,37.85
284,38.62
285,38.62
286,38.62
287,38.62
288,37.85
289,23.43
290,23.43
291,23.43
292,23.43
293,23.43
294,23.43
295,25.52
296,26.91
297,26.04
298,23.43
299,23.43
300,23.43
301,23.43
302,23.43
303,23.43
304,23.43
305,26.03
306,23.43
307,23.43
308,23.43
309,23.43
310,23.43
311,23.43
312,23.43
313,23.43
314,23.43
315,23.43
316,23.43
317,23.43
318,23.43
319,30.0
320,53.67
321,53.8
322,53.8
323,54.76
324,63.31
325,63.31
326,63.32
327,63.32
328,63.32
329,63.32
330,63.32
331,63.31
332,63.31
333,63.31
334,54.76
335,54.21
336,53.8
337,53.8
338,53.8
339,53.8
340,53.8
341,53.8
342,53.8
343,60.01
344,63.29
345,63.29
346,61.1
347,53.8
348,53.67
349,53.67
350,53.67
351,48.3
352,48.3
353,53.67
354,53.67
355,52.62
356,39.03
357,38.82
358,38.82
359,38.82
360,38.82
361,38.82
362,38.82
363,38.82
364,38.82
365,38.82
366,38.82
367,39.82
368,54.21
369,65.63
370,66.94
371,66.94
372,66.94
373,66.94
374,66.94
375,66.94
376,66.94
377,66.94
378,66.94
379,66.94
380,66.94
381,66.94
382,62.97
383,54.21
384,53.8
385,105.0
386,105.0
387,105.0
388,105.0
389,107.14
390,118.81
391,118.81
392,118.81
393,118.81
394,118.81
395,118.81
396,118.81
397,106.93
398,105.0
399,117.6
400,118.81
401,118.81
402,118.81
403,118.81
404,118.81
405,118.81
406,118.81
407,117.61
408,115.27
409,106.3
410,105.0
411,105.0
412,105.0
413,105.0
414,105.0
415,111.82
416,117.6
417,117.61
418,117.62
419,112.05
420,105.0
421,100.99
422,100.99
423,100.99
424,105.0
425,118.81
426,118.81
427,117.61
428,115.27
429,114.13
430,114.13
431,114.13
432,111.82
