t,gas_price,power_price,hydrogen_price,heat_demand,local_heat_demand,supply_temperature,return_temperature,solar_thermal_heat_profile,normalized_solar_thermal_heat_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.max_volume_flow_compressor,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.max_volume_flow_compressor,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_supply,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.S1_heat_feedin,local_heat_grid.S2_heat_feedin,local_heat_grid.district_heat_feedin,ngas_grid.ngas_supply,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.FW_to_NW,heat_grid.bin_excess_active,heat_grid.bin_FW_to_NW_active,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,stratified_storage.Q_dot_ST,stratified_storage.Q_dot_WP,stratified_storage.Q_dot_S1_FW,stratified_storage.Q_dot_S1_NW,stratified_storage.Q_dot_S2_NW,stratified_storage.U_S1,stratified_storage.U_S2,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop
1,70.037,114.12,197.35023348238866,96.554,1.3225777158149064,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575322,1.526542324246772,124.848,0.0,0.0,3.8,3.8,0.0,0.0,1.3225777158149064,0.0,312.656,0.0,164.0,87.446,20.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-87.446,87.446,0.0,87.446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526542324246772,3.8,4.03687123902439,1297.560975609756,0.07987325301204819,4.634146341463414,0.019169580722891565,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.03687123902439,20.0,0.0,1.3225777158149064,30.0,20.0,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
2,70.037,113.79,197.35023348238866,97.699,1.3748408683440645,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575324,1.5265423242467688,124.848,0.0,0.0,3.8,3.8,0.0,0.0,1.3748408683440645,0.0,312.656,0.0,164.0,86.30100000000002,20.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-86.30100000000002,86.30100000000002,0.0,173.74699999999962,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467688,3.8,4.036871239024382,1297.5609756097535,0.079873253012048,4.634146341463405,0.01916958072289152,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,4.036871239024382,20.0,0.0,1.3748408683440645,8.398,21.594030370680315,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
3,70.037,113.79,197.35023348238866,95.31750000000001,1.3690296776543576,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575324,1.5265423242467688,124.848,0.0,0.0,3.8,3.8,0.0,0.0,1.3690296776543576,0.0,312.656,0.0,164.0,76.63204680000041,7.949546800000019,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-76.63204680000041,76.63204680000041,0.0,250.3790467999993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467688,3.8,4.036871239024382,1297.5609756097535,0.079873253012048,4.634146341463405,0.01916958072289152,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,4.036871239024382,7.949546800000019,0.0,1.3690296776543576,0.0,23.1087507102552,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
4,70.037,111.79,197.35023348238866,95.744,1.4204523757312997,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4204523757312997,0.0,0.0,0.0,95.744,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,95.74400000000011,0.0,95.74400000000011,154.63504679999818,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,1.4204523757312997,0.0,20.454291046596275,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
5,70.037,111.78,197.35023348238866,94.039,1.4651911424090494,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4651911424090494,0.0,0.0,0.0,94.039,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,94.03900000000014,0.0,94.03900000000014,60.596046799997026,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,1.4651911424090494,0.0,17.896840762298982,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
6,70.037,111.78,197.35023348238866,94.843,1.794257431193237,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.43873254067034,26.0711195921561,51.81347711675752,17.86441297443055,1.677494917322537,88.43873254067034,0.0,-21.39723354215566,4.673886050000442,26.0711195921561,0.0,0.0,1.6774949173225304,1.6774949173225304,0.0,0.0,1.794257431193237,0.0,88.43873254067034,0.0,94.843,0.0,0.0,0.0,1.0,-0.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,43.02952288324274,0.0,43.02952288324274,17.566523916753287,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6738860500004427,1.6774949173225304,1.7820607856181372,572.8031425003763,0.0352597305151914,2.0457255089299156,0.008462335323645936,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,1.7820607856181372,0.0,0.0,1.794257431193237,0.0,16.928952820017116,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
7,70.037,111.78,197.35023348238866,94.607,2.0578563910896768,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,140.5428832175031,53.971493674729565,74.98125010326628,28.347972559013638,1.8482647427759185,140.5428832175031,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-112.88973452411658,3.505759150612991,116.39549367472956,0.0,0.0,3.748264742775909,3.748264742775909,0.0,0.0,2.0578563910896768,0.0,296.8708832175031,0.0,156.981250103266,62.37425010326602,0.0,0.0,1.0,-0.0,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,-62.37425010326602,62.37425010326602,0.0,79.94077402001811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5057591506129908,3.748264742775909,3.981911088516111,1279.8952780210423,0.07878581530417891,4.571054564360865,0.01890859567300294,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,3.981911088516111,0.0,0.0,2.0578563910896768,0.0,17.949001436854637,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
8,70.037,111.78,197.35023348238866,96.8815,2.085524903864958,80.0,55.0,0.0,0.0,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-123.32145767575324,1.5265423242467688,124.848,0.0,0.0,3.8,3.8,0.0,0.0,2.085524903864958,0.0,312.656,0.0,164.0,67.11849999999977,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,6.0,1.0,-0.0,1.0,-67.11849999999977,67.11849999999977,0.0,147.05927402001626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5265423242467688,3.8,4.036871239024382,1297.5609756097535,0.079873253012048,4.634146341463405,0.01916958072289152,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,4.036871239024382,0.0,0.0,2.085524903864958,0.0,18.941871095286025,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
9,70.037,151.32,197.35023348238866,104.853,2.5295032837296487,80.0,55.0,0.0002548868716609,0.0002548868716609,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-127.86088109038738,1.1850789096126224,129.04596,0.0,0.0,3.8,3.8,0.0,0.0,2.5295032837296487,0.0,312.656,0.0,164.0,59.148881065113294,0.0018810651128662323,0.0,1.0,-0.0,4.0,0.0,4.0,2.0,1.0,-0.0,0.0,-59.148881065113294,59.148881065113294,0.0,206.20815508512666,1.0,0.0,0.19796,1.0,0.0018810651128574418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1850789096126224,2.95,3.1338868829268214,1007.3170731707291,0.062006867469879344,3.597560975609747,0.014881648192771041,-0.85,0.85,0.0,0.85,1.0,1.0,0.0018810651128574418,3.1338868829268214,0.0018810651128662323,0.0,2.5295032837296487,0.0,18.534758777994924,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
10,70.037,151.32,197.35023348238866,111.2905,2.549405857771298,80.0,55.0,0.3352177881136935,0.3352177881136935,10,488,1.31,273.15,308.15,3000000,17000000,17000000,3000000,263.15,398.15,318.15,263.15,1450,1720,420,420,0.15666666666666668,0.85,25.0,6,10,488,1.31,303.15,353.15,8300000.000000001,52000000,52000000,8300000.000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,1.0,156.328,62.424,82.0,31.524,1.9,156.328,0.0,-126.16076109038738,1.1850789096126224,127.34584000000001,0.0,0.0,3.8,3.8,0.0,0.0,2.549405857771298,0.0,312.656,0.0,164.0,55.183407276278786,2.4739072762790686,0.0,1.0,-0.0,2.0,0.0,2.0,0.0,1.0,-0.0,0.0,-55.183407276278786,55.183407276278786,0.0,261.39156236140155,1.0,0.0,0.49784,1.0,2.473907276279058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1850789096126224,2.95,3.1338868829268214,1007.3170731707291,0.062006867469879344,3.597560975609747,0.014881648192771041,-0.85,0.85,0.0,1.7,1.0,1.0,2.473907276279058,3.1338868829268214,2.4739072762790686,0.0,2.549405857771298,0.0,18.129483684404914,5.784545454545454,0.6093386138613862,3.524746909090909,5.187857142857142,0.5996931846344487,3.1111225714285715
