t,gas_price,power_price,hydrogen_price,heat_demand,local_heat_demand,supply_temperature,return_temperature,solar_thermal_heat_profile,normalized_solar_thermal_heat_profile,normalized_pv_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_supply,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_dissipation,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.Z1_heat_feedin,local_heat_grid.Z2_heat_feedin,local_heat_grid.district_heat_feedin,ngas_grid.ngas_supply,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.FW_to_NW,heat_grid.bin_excess_active,heat_grid.bin_FW_to_NW_active,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,stratified_storage.Q_dot_ST,stratified_storage.Q_dot_WP,stratified_storage.Q_dot_Z1_FW,stratified_storage.Q_dot_Z1_NW,stratified_storage.Q_dot_Z2_NW,stratified_storage.U_Z1,stratified_storage.U_Z2,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop
1,70.037,114.12,197.35023348238866,96.554,1.3225777158149064,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-95.0959000849931,1.0040999150068892,96.1,153.45,0.0,3.450452435205491,0.34954756479450877,3.8,0.0,0.0,1.3225777158149064,0.0,153.45,0.0,115.976,19.421999999999997,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-19.421999999999997,19.421999999999997,0.0,19.421999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0040999150068892,3.4504524352054915,5.993639742661955,0.9036899235062003,0.5976561524471196,4.107681470482728,0.14343747658730868,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,5.993639742661955,0.0,0.0,1.3225777158149064,0.0,4.671062026847048,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
2,70.037,113.79,197.35023348238866,97.699,1.3748408683440645,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-94.9941798941799,1.1058201058201063,96.1,153.45,0.0,3.8,0.0,3.8,0.0,0.0,1.3748408683440645,0.0,153.45,0.0,115.976,18.277,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-18.277,18.277,0.0,37.699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058201058201063,3.8,6.600824514991183,0.9952380952380953,0.6582016190476192,4.523809523809524,0.15796838857142861,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,6.600824514991183,0.0,0.0,1.3748408683440645,0.0,9.897045673494166,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
3,70.037,113.79,197.35023348238866,95.31750000000001,1.3690296776543576,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-94.9941798941799,1.1058201058201063,96.1,153.45,0.0,3.8,0.0,3.8,0.0,0.0,1.3690296776543576,0.0,153.45,0.0,115.976,20.65849999999999,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-20.65849999999999,20.65849999999999,0.0,58.35749999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058201058201063,3.8,6.600824514991183,0.9952380952380953,0.6582016190476192,4.523809523809524,0.15796838857142861,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,6.600824514991183,0.0,0.0,1.3690296776543576,0.0,15.12884051083099,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
4,70.037,111.79,197.35023348238866,95.744,1.4204523757312997,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-94.9941798941799,1.1058201058201063,96.1,153.45,0.0,3.8,0.0,3.8,0.0,0.0,1.4204523757312997,0.0,153.45,0.0,115.976,20.232,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-20.232,20.232,0.0,78.58949999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058201058201063,3.8,6.600824514991183,0.9952380952380953,0.6582016190476192,4.523809523809524,0.15796838857142861,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,6.600824514991183,0.0,0.0,1.4204523757312997,0.0,20.309212650090874,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
5,70.037,111.78,197.35023348238866,94.039,1.4651911424090494,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,84.96909134181087,19.294557848655415,36.051,8.74348618928497,1.6713466750052115,42.48454567090543,42.48454567090543,-66.30527707021474,1.0392807784406703,67.34455784865541,119.20954567090543,0.0,3.571346675005212,0.0,3.571346675005211,0.0,0.0,1.4651911424090494,0.0,119.20954567090543,0.0,94.039,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,78.58949999999999,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0392807784406703,3.571346675005212,6.203640179975434,0.9353527005966034,0.6185963588602005,4.251603184530015,0.1484631261264481,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,6.203640179975434,0.0,0.0,1.4651911424090494,0.0,25.047661687657257,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
6,70.037,111.78,197.35023348238866,94.843,1.794257431193237,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,87.4789445834202,20.34845653533459,36.855000000000004,9.00071758390661,1.679726912653742,43.7394722917101,43.7394722917101,-63.35673706339831,5.041719471936275,68.39845653533459,120.4644722917101,0.0,3.579726912653742,0.0,3.579726912653742,0.0,0.0,1.794257431193237,0.0,120.4644722917101,0.0,94.843,0.0,-0.0,0.0,0.0,1.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,78.58949999999999,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0417194719362743,3.5797269126537423,6.21819714789961,0.9375475247426469,0.620047907804481,4.261579657921122,0.14881149787307543,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,6.21819714789961,0.0,0.0,1.794257431193237,0.0,29.47160140436363,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
7,70.037,111.78,197.35023348238866,94.607,2.0578563910896768,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,86.74222149259954,20.039103189493435,36.619,8.925211851156973,1.6772670419011884,43.37111074629977,43.37111074629977,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-65.04809955296133,3.041003636532092,68.08910318949343,120.09611074629976,0.0,3.5772670419011883,0.0,3.5772670419011883,0.0,0.0,2.0578563910896768,0.0,120.09611074629976,0.0,94.607,0.0,-0.0,0.0,0.0,1.0,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,78.58949999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041003636532092,3.5772670419011883,6.213924207066145,0.9369032728788829,0.6196218312486972,4.258651240358558,0.1487092394996873,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,6.213924207066145,0.0,0.0,2.0578563910896768,0.0,33.627669220340096,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
8,70.037,111.78,197.35023348238866,96.8815,2.085524903864958,80.0,55.0,0.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,85.83477288510905,19.65806142983666,36.32831022247558,8.832208695839983,1.674237129690177,42.91738644255452,42.91738644255452,-66.66793951378925,1.0401219160474062,67.70806142983666,119.64238644255451,0.0,3.574237129690177,0.0,3.574237129690177,0.0,0.0,2.085524903864958,0.0,119.64238644255451,0.0,96.8815,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,-0.0,1.0,2.5651897775244237,0.0,2.5651897775244237,76.02431022247556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0401219160474062,3.574237129690177,6.208661070539641,0.9361097244426656,0.6190970172689972,4.255044202012116,0.14858328414455932,0.0,0.0,0.0,3250.0,1.0,1.0,-0.0,6.208661070539641,0.0,0.0,2.085524903864958,0.0,37.75080538701478,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
9,70.037,151.32,197.35023348238866,104.853,2.5295032837296487,80.0,55.0,0.0002548868716609,0.0002548868716609,0.03,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-100.1294,0.0,100.1294,153.45,0.0,0.0,3.8,3.8,0.0,0.0,2.5295032837296487,0.0,153.45,0.0,115.976,11.123000000000005,-0.0,0.0,0.0,1.0,4.0,0.0,4.0,2.0,1.0,-0.0,0.0,-11.123000000000005,11.123000000000005,0.0,87.14731022247557,1.0,0.0,0.0294,1.0,0.0018810651128574418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,1.0,1.0,0.0018810651128574418,0.0,0.0,0.0,2.5295032837296487,0.0018810651129461675,35.22130210328513,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
10,70.037,151.32,197.35023348238866,111.2905,2.549405857771298,80.0,55.0,0.3352177881136935,0.3352177881136935,0.078,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-98.17643999999999,0.0,98.17643999999999,153.45,0.0,0.0,3.8,3.8,0.0,0.0,2.549405857771298,0.0,153.45,0.0,115.976,4.685500000000005,-0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,-0.0,0.0,-4.685500000000005,4.685500000000005,0.0,91.83281022247557,1.0,0.0,0.07644,1.0,2.473907276279058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,1.0,1.0,2.473907276279058,0.0,0.0,0.0,2.549405857771298,2.475788341392004,32.671896245513835,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
