,power_price,gas_price,bhkw_bin,storage_bin,bhkw_gas,bhkw_power,bhkw_heat,plant_supply_power,storage_power,storage_energy
73,154.3,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,1.0
74,154.3,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
75,154.3,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
76,154.3,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
77,154.3,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,5.0
78,154.3,70.037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
79,178.71,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
80,206.42,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
81,264.87,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
82,264.87,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
83,250.41,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
84,196.01,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,3.0
85,196.01,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,4.0
86,196.01,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
87,228.05,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
88,239.81,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
89,264.87,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
90,274.2,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
91,270.67,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
92,264.87,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
93,208.52,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
94,204.36,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
95,189.44,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
96,170.77,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
97,139.14,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
98,135.91,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
99,135.91,70.037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
100,135.91,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
101,135.91,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,3.0
102,135.91,70.037,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
103,136.42,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
104,179.37,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
105,233.3,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
106,227.84,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
107,172.64,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,2.0
108,172.64,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,3.0
109,172.64,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,4.0
110,172.64,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
111,190.75,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
112,233.3,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
113,246.03,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
114,259.59,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
115,255.07,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
116,233.3,70.037,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
117,181.9,70.037,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
118,164.15,70.037,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
119,155.55,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
120,135.66,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
121,128.12,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
122,113.09,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
123,111.71,70.037,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
124,111.71,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
125,111.71,70.037,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
