t,value
1,106.85
2,105.25
3,105.25
4,103.92
5,100.7
6,100.7
7,100.7
8,100.7
9,127.0
10,127.0
11,123.44
12,123.43
13,123.43
14,123.43
15,127.01
16,146.28
17,175.38
18,175.38
19,175.38
20,175.38
21,136.14
22,134.29
23,115.74
24,109.15
25,135.79
26,128.08
27,126.71
28,126.71
29,126.71
30,126.75
31,146.84
32,163.93
33,207.05
34,207.05
35,171.27
36,153.24
37,153.24
38,153.24
39,168.86
40,200.77
41,207.05
42,207.05
43,207.05
44,207.05
45,164.09
46,152.94
47,147.24
48,138.1
49,135.79
50,123.66
51,116.9
52,116.87
53,116.87
54,116.87
55,121.11
56,147.23
57,185.71
58,155.42
59,143.34
60,143.32
61,143.32
62,143.32
63,145.97
64,194.04
65,194.04
66,194.04
67,194.04
68,194.04
69,140.17
70,135.79
71,135.79
72,128.35
73,115.67
74,108.58
75,106.85
76,105.26
77,105.25
78,105.25
79,104.03
80,105.85
81,107.84
82,105.25
83,100.74
84,100.74
85,100.74
86,100.74
87,106.85
88,130.55
89,136.13
90,136.13
91,136.13
92,135.79
93,131.69
94,112.4
95,124.88
96,115.73
97,106.85
98,105.25
99,105.25
100,103.92
101,100.7
102,100.7
103,100.7
104,100.7
105,100.69
106,100.69
107,97.87
108,97.86
109,97.86
110,97.86
111,100.7
112,115.98
113,139.05
114,139.05
115,139.05
116,139.05
117,136.14
118,134.29
119,115.74
120,109.15
121,102.9
122,102.9
123,102.89
124,102.89
125,102.89
126,102.9
127,108.53
128,133.92
129,190.94
130,191.03
131,191.02
132,180.11
133,174.4
134,190.85
135,191.03
136,197.68
137,197.74
138,197.74
139,197.74
140,191.37
141,151.46
142,144.9
143,142.53
144,133.92
145,118.57
146,118.47
147,118.0
148,118.0
149,118.0
150,118.01
151,123.22
152,151.46
153,202.38
154,201.95
155,191.09
156,186.92
157,188.13
158,194.73
159,202.46
160,202.46
161,202.46
162,202.49
163,202.46
164,202.46
165,160.5
166,151.46
167,151.45
168,144.9
169,138.96
170,120.94
171,120.94
172,120.94
173,120.94
174,120.94
175,143.75
176,151.46
177,202.43
178,202.45
179,202.25
180,191.25
181,191.05
182,191.05
183,196.83
184,202.46
185,202.49
186,202.49
187,202.49
188,202.46
189,155.31
190,151.46
191,151.43
192,146.21
193,125.51
194,119.84
195,119.83
196,119.83
197,119.83
198,119.84
199,143.3
200,159.15
201,200.8
202,200.72
203,191.03
204,187.07
205,172.5
206,186.88
207,191.03
208,190.98
209,172.57
210,200.64
211,191.05
212,191.03
213,148.43
214,120.94
215,118.56
216,115.74
217,112.08
218,112.08
219,112.08
220,112.08
221,112.08
222,112.08
223,115.73
224,139.32
225,175.72
226,149.79
227,141.37
228,141.37
229,141.37
230,141.37
231,163.72
232,187.23
233,193.67
234,193.69
235,193.69
236,193.69
237,151.5
238,151.46
239,149.63
240,140.34
241,136.18
242,134.38
243,123.22
244,119.66
245,119.66
246,119.66
247,119.66
248,138.96
249,151.46
250,151.46
251,151.44
252,149.55
253,143.2
254,134.42
255,136.32
256,151.46
257,151.46
258,151.46
259,151.46
260,144.65
261,124.62
262,118.57
263,115.14
264,108.98
265,63.79
266,53.04
267,53.03
268,53.02
269,53.02
270,53.0
271,53.0
272,53.0
273,53.0
274,53.03
275,53.03
276,53.03
277,53.03
278,53.03
279,53.03
280,106.81
281,115.14
282,134.48
283,139.03
284,139.03
285,139.02
286,135.9
287,127.66
288,118.57
289,115.85
290,115.84
291,115.84
292,115.85
293,115.87
294,128.65
295,150.12
296,166.62
297,210.35
298,210.35
299,210.35
300,210.35
301,210.17
302,210.34
303,210.35
304,210.35
305,210.35
306,210.35
307,210.34
308,208.31
309,156.01
310,149.64
311,147.26
312,141.23
313,130.23
314,123.42
315,123.42
316,123.42
317,123.42
318,123.42
319,135.38
320,164.16
321,208.78
322,208.78
323,201.0
324,180.54
325,167.88
326,167.88
327,167.88
328,199.91
329,207.05
330,210.35
331,210.34
332,210.34
333,162.15
334,144.84
335,141.24
336,135.38
337,130.13
338,123.42
339,123.34
340,123.34
341,123.34
342,123.34
343,131.59
344,150.56
345,210.34
346,210.35
347,192.58
348,191.03
349,178.79
350,184.41
351,194.9
352,200.95
353,211.63
354,217.79
355,217.79
356,217.79
357,168.78
358,166.77
359,155.95
360,147.13
361,136.51
362,131.58
363,131.49
364,131.49
365,131.49
366,131.58
367,147.77
368,168.6
369,216.02
370,213.78
371,200.33
372,165.95
373,165.84
374,165.84
375,169.2
376,201.96
377,211.63
378,215.38
379,215.38
380,215.37
381,166.78
382,156.53
383,150.13
384,148.61
385,132.83
386,131.57
387,131.54
388,131.54
389,131.54
390,131.58
391,153.17
392,169.09
393,223.17
394,222.29
395,217.62
396,212.47
397,212.48
398,214.46
399,221.06
400,224.07
401,224.11
402,224.13
403,224.11
404,223.83
405,173.07
406,168.42
407,166.76
408,160.9
409,154.23
410,150.12
411,134.98
412,132.1
413,132.1
414,132.1
415,132.91
416,151.47
417,161.74
418,161.76
419,160.91
420,137.81
421,133.15
422,133.15
423,133.15
424,142.7
425,154.56
426,166.78
427,166.82
428,166.82
429,166.62
430,160.9
431,152.44
432,145.48
433,137.53
434,131.59
435,131.58
436,131.58
437,131.57
438,131.57
439,131.58
440,140.26
441,149.96
442,159.15
443,151.47
444,146.03
445,140.36
446,137.19
447,143.14
448,151.47
449,165.93
450,172.79
451,173.53
452,173.52
453,170.0
454,166.78
455,164.14
456,151.47
457,151.46
458,147.01
459,147.01
460,141.4
461,147.01
462,148.83
463,170.01
464,195.51
465,257.61
466,257.6
467,221.08
468,218.78
469,216.57
470,216.57
471,218.89
472,243.93
473,261.73
474,262.04
475,262.04
476,261.95
477,203.4
478,183.52
479,173.55
480,166.62
481,153.57
482,153.56
483,153.56
484,153.56
485,153.56
486,153.56
487,168.31
488,196.21
489,261.93
490,261.93
491,247.46
492,221.48
493,218.77
494,218.77
495,218.86
496,236.12
497,261.94
498,261.94
499,261.94
500,261.94
501,199.36
502,183.46
503,173.51
504,165.02
505,153.74
506,153.68
507,153.68
508,153.68
509,153.68
510,153.68
511,170.01
512,196.2
513,274.41
514,274.41
515,274.41
516,274.41
517,233.26
518,233.25
519,233.26
520,255.03
521,274.41
522,303.67
523,303.67
524,303.67
525,217.57
526,189.55
527,183.52
528,171.32
529,162.52
530,161.01
531,161.0
532,161.0
533,161.0
534,161.01
535,175.29
536,217.57
537,274.41
538,274.41
539,274.38
540,221.08
541,214.01
542,214.01
543,215.44
544,233.25
545,274.41
546,274.41
547,274.41
548,274.4
549,187.22
550,177.43
551,171.86
552,165.02
553,151.47
554,148.83
555,148.83
556,148.83
557,148.83
558,151.47
559,170.23
560,193.05
561,243.49
562,233.25
563,203.99
564,185.45
565,176.95
566,176.94
567,176.94
568,187.72
569,197.29
570,212.88
571,212.88
572,211.62
573,148.46
574,147.01
575,147.01
576,145.86
577,142.97
578,133.6
579,121.67
580,121.63
581,121.63
582,121.63
583,121.63
584,137.51
585,148.44
586,156.09
587,148.46
588,156.09
589,133.7
590,129.79
591,129.79
592,138.76
593,151.47
594,162.15
595,162.15
596,162.14
597,155.67
598,147.01
599,145.85
600,142.33
601,134.39
602,125.63
603,115.75
604,113.88
605,113.88
606,113.88
607,113.88
608,113.88
609,115.42
610,118.23
611,116.69
612,115.38
613,113.89
614,113.89
615,114.69
616,114.79
617,131.62
618,147.01
619,147.03
620,147.01
621,145.87
622,135.85
623,133.6
624,124.97
625,113.28
626,111.68
627,111.68
628,111.46
629,111.55
630,111.68
631,123.38
632,150.91
633,190.36
634,190.36
635,184.19
636,155.81
637,150.6
638,150.6
639,150.62
640,155.66
641,184.24
642,190.34
643,190.34
644,190.34
645,143.13
646,123.35
647,122.13
648,118.18
649,105.96
650,105.92
651,105.92
652,105.92
653,105.92
654,105.92
655,122.3
656,143.13
657,180.52
658,180.52
659,175.71
660,149.07
661,138.23
662,138.22
663,138.25
664,145.13
665,155.49
666,162.62
667,162.62
668,154.04
669,115.14
670,105.68
671,94.65
672,94.02
673,93.69
674,93.68
675,93.68
676,93.68
677,93.68
678,94.02
679,106.82
680,127.05
681,160.25
682,160.25
683,160.25
684,154.52
685,139.29
686,140.48
687,140.7
688,144.84
689,152.09
690,160.24
691,160.25
692,160.25
693,122.12
694,109.26
695,103.22
696,94.02
697,93.67
698,93.67
699,93.67
700,93.67
701,93.67
702,93.73
703,112.46
704,128.52
705,162.1
706,162.1
707,155.42
708,135.82
709,134.77
710,134.77
711,139.06
712,162.1
713,179.36
714,190.02
715,190.02
716,190.01
717,139.37
718,128.52
719,122.13
720,118.17
721,107.94
722,94.63
723,93.65
724,93.65
725,93.63
726,93.65
727,105.87
728,126.53
729,159.61
730,159.57
731,126.55
732,109.25
733,109.25
734,109.25
735,109.25
736,109.25
737,134.77
738,147.64
739,147.64
740,147.64
741,106.85
742,92.72
743,92.21
744,49.89
745,7.73
746,7.72
747,7.72
748,7.72
749,7.71
750,7.71
751,7.71
752,7.72
753,7.72
754,7.72
755,7.72
756,7.72
757,7.72
758,7.72
759,7.72
760,7.88
761,15.1
762,50.38
763,67.66
764,67.66
765,50.42
766,49.88
767,46.74
768,20.23
769,14.78
770,10.3
771,9.4
772,9.26
773,9.26
774,9.26
775,9.26
776,9.45
777,10.3
778,10.3
779,10.3
780,10.3
781,10.3
782,10.3
783,50.37
784,93.63
785,109.4
786,122.13
787,122.13
788,122.13
789,120.95
790,120.89
791,114.81
792,108.02
793,109.94
794,107.62
795,107.61
796,106.87
797,113.77
798,122.12
799,132.01
800,132.1
801,166.51
802,166.46
803,156.92
804,154.44
805,145.57
806,134.77
807,130.95
808,130.95
809,134.77
810,154.03
811,154.05
812,154.03
813,119.48
814,106.85
815,94.04
816,92.78
817,92.05
818,90.7
819,90.7
820,90.7
821,90.7
822,92.04
823,94.01
824,125.04
825,157.96
826,157.95
827,152.21
828,134.77
829,127.62
830,127.62
831,129.88
832,134.76
833,146.02
834,157.99
835,158.01
836,158.0
837,125.26
838,122.09
839,114.8
840,104.95
841,92.69
842,92.69
843,92.69
844,92.69
845,92.69
846,92.73
847,108.65
848,138.32
849,174.48
850,173.92
851,141.37
852,129.22
853,129.13
854,129.13
855,130.46
856,138.35
857,160.98
858,185.23
859,185.27
860,185.27
861,146.86
862,122.46
863,122.12
864,111.37
865,108.71
866,108.71
867,108.71
868,108.71
869,108.71
870,108.71
871,120.89
872,141.91
873,183.39
874,180.54
875,168.37
876,157.24
877,155.89
878,168.34
879,172.23
880,180.26
881,192.53
882,194.53
883,196.53
884,196.52
885,152.66
886,152.64
887,143.34
888,143.06
889,130.32
890,122.12
891,120.86
892,120.19
893,120.19
894,121.35
895,146.03
896,154.16
897,194.44
898,194.19
899,184.18
900,160.12
901,149.78
902,149.78
903,152.27
904,159.24
905,184.18
906,192.51
907,192.52
908,192.51
909,143.13
910,128.4
911,122.12
912,120.74
913,115.13
914,105.57
915,94.56
916,93.62
917,93.61
918,78.01
919,78.01
920,91.77
921,91.77
922,80.2
923,49.88
924,42.37
925,39.15
926,39.11
927,39.12
928,42.37
929,57.25
930,58.46
931,58.46
932,58.39
933,57.25
934,54.38
935,52.28
936,48.82
937,7.89
938,0.05
939,0.01
940,0.01
941,0.01
942,0.01
943,0.01
944,0.01
945,0.01
946,0.01
947,0.01
948,0.01
949,0.01
950,0.01
951,0.01
952,0.01
953,8.04
