t,value
1,43.89
2,43.89
3,43.89
4,43.89
5,43.89
6,43.89
7,43.89
8,43.89
9,43.89
10,43.89
11,43.89
12,43.89
13,43.89
14,43.89
15,43.89
16,59.31
17,59.31
18,59.31
19,59.31
20,59.31
21,59.31
22,56.75
23,43.89
24,43.89
25,43.89
26,43.89
27,43.89
28,43.89
29,43.89
30,43.89
31,43.89
32,43.89
33,43.89
34,43.89
35,43.89
36,43.89
37,43.89
38,43.89
39,43.89
40,43.89
41,43.89
42,43.89
43,43.89
44,43.89
45,43.89
46,43.89
47,43.89
48,43.89
49,43.89
50,43.89
51,43.89
52,43.89
53,43.89
54,43.89
55,43.89
56,43.89
57,43.89
58,43.89
59,43.89
60,43.89
61,43.89
62,43.89
63,43.89
64,59.31
65,59.31
66,59.31
67,59.31
68,59.31
69,59.31
70,56.75
71,43.89
72,43.89
73,41.02
74,41.02
75,41.02
76,41.02
77,41.02
78,41.02
79,41.02
80,54.17
81,63.41
82,64.04
83,64.04
84,64.04
85,64.04
86,64.7
87,64.76
88,65.36
89,66.02
90,66.69
91,66.69
92,66.7
93,66.69
94,65.36
95,65.36
96,64.7
97,64.05
98,64.04
99,64.7
100,64.04
101,59.5
102,57.74
103,65.36
104,66.69
105,66.69
106,66.69
107,66.02
108,66.02
109,66.02
110,66.02
111,66.69
112,66.69
113,68.74
114,82.55
115,82.55
116,82.55
117,82.55
118,70.85
119,68.74
120,68.06
121,66.69
122,66.69
123,66.69
124,66.69
125,66.69
126,66.69
127,68.06
128,90.44
129,90.44
130,90.44
131,87.75
132,75.7
133,76.54
134,90.44
135,90.44
136,90.44
137,90.44
138,90.44
139,90.44
140,90.44
141,90.44
142,90.44
143,90.44
144,90.44
145,68.75
146,68.74
147,66.69
148,64.71
149,64.71
150,64.71
151,66.02
152,80.24
153,66.69
154,60.81
155,46.87
156,46.87
157,46.87
158,46.87
159,46.87
160,46.87
161,46.87
162,59.5
163,59.5
164,59.5
165,57.28
166,56.7
167,41.02
168,41.02
169,41.02
170,41.02
171,41.02
172,41.02
173,41.02
174,41.02
175,41.02
176,41.02
177,41.02
178,41.02
179,41.02
180,41.02
181,41.02
182,41.02
183,41.02
184,65.35
185,66.7
186,66.7
187,66.7
188,66.7
189,66.7
190,66.02
191,66.02
192,65.36
193,65.36
194,66.69
195,66.69
196,66.69
197,66.69
198,66.69
199,66.02
200,66.69
201,66.7
202,66.02
203,65.36
204,65.36
205,65.36
206,66.02
207,66.7
208,66.7
209,66.7
210,66.7
211,66.69
212,65.36
213,62.13
214,59.48
215,41.02
216,41.02
217,41.02
218,41.02
219,41.02
220,41.02
221,41.02
222,41.02
223,41.02
224,41.02
225,41.02
226,41.02
227,41.02
228,41.02
229,41.02
230,41.02
231,41.02
232,41.02
233,41.02
234,41.02
235,41.02
236,52.7
237,52.7
238,52.7
239,52.7
240,52.7
241,67.55
242,67.55
243,67.55
244,67.55
245,67.55
246,67.68
247,126.08
248,126.08
249,126.08
250,126.08
251,126.08
252,126.08
253,126.08
