t,value
1,60.49
2,60.49
3,52.82
4,52.82
5,52.82
6,52.82
7,52.82
8,52.82
9,52.82
10,52.82
11,52.82
12,52.82
13,52.82
14,52.82
15,60.49
16,73.32
17,73.32
18,73.32
19,73.32
20,73.32
21,73.32
22,71.08
23,60.49
24,60.49
25,58.31
26,58.31
27,58.31
28,58.31
29,58.31
30,58.31
31,58.31
32,80.27
33,81.11
34,81.11
35,81.11
36,80.3
37,81.11
38,81.93
39,81.93
40,82.76
41,85.3
42,85.32
43,92.8
44,92.8
45,86.18
46,83.59
47,82.76
48,81.95
49,81.11
50,79.5
51,81.11
52,76.12
53,75.51
54,75.51
55,82.76
56,84.46
57,97.27
58,84.46
59,82.76
60,82.76
61,82.76
62,83.6
63,85.61
64,121.35
65,123.81
66,123.81
67,123.81
68,123.81
69,123.81
70,123.81
71,123.81
72,108.71
73,102.18
74,102.18
75,102.18
76,102.18
77,102.18
78,102.18
79,102.18
80,125.09
81,126.32
82,126.32
83,122.58
84,104.38
85,104.38
86,122.22
87,126.32
88,126.32
89,126.32
90,126.32
91,126.32
92,126.32
93,126.32
94,126.32
95,126.32
96,126.32
97,104.9
98,103.25
99,103.25
100,103.25
101,103.25
102,103.25
103,125.06
104,125.06
105,125.06
106,81.93
107,73.84
108,66.87
109,66.87
110,66.87
111,66.87
112,66.87
113,66.87
114,82.75
115,82.75
116,82.75
117,72.65
118,71.92
119,56.93
120,56.93
121,56.93
122,56.93
123,56.93
124,56.93
125,56.93
126,56.93
127,56.93
128,71.2
129,71.2
130,56.93
131,56.93
132,56.93
133,56.93
134,56.93
135,56.93
136,84.46
137,103.19
138,103.19
139,103.19
140,103.19
141,103.19
142,85.31
143,85.31
144,84.45
145,84.45
146,84.46
147,85.33
148,85.31
149,84.45
150,84.45
151,84.75
152,103.19
153,103.19
154,85.61
155,84.45
156,84.45
157,84.45
158,84.45
159,103.19
160,103.19
161,103.19
162,103.19
163,103.19
164,82.76
165,78.68
166,74.72
167,56.93
168,56.93
169,49.58
170,49.58
171,49.58
172,49.58
173,49.58
174,49.58
175,49.58
176,49.58
177,49.58
178,49.58
179,49.58
180,49.58
181,49.58
182,49.58
183,49.58
184,49.58
185,56.93
186,56.93
187,72.81
188,72.81
189,72.81
190,72.81
191,72.81
192,72.81
193,86.95
194,86.95
195,86.95
196,86.95
197,86.95
198,103.55
199,150.0
200,150.0
201,150.0
202,150.0
203,150.0
204,150.0
205,150.0
206,150.0
207,150.0
208,150.0
209,150.0
210,150.0
211,150.0
212,150.0
213,146.97
214,126.32
215,123.81
216,98.72
217,87.02
218,87.02
219,87.02
220,87.02
221,87.02
222,87.02
223,87.02
224,106.19
225,106.19
226,106.18
227,87.02
228,87.02
229,87.02
230,87.02
231,87.02
232,87.02
233,87.02
234,117.6
235,117.6
236,117.6
237,117.6
238,117.6
239,117.6
240,94.4
241,86.67
242,80.67
243,80.67
244,80.67
245,80.67
246,80.67
247,80.67
248,88.36
249,109.1
250,109.1
251,89.52
252,89.73
253,89.52
254,89.8
255,96.85
256,117.12
257,117.12
258,117.12
259,117.12
260,117.12
261,117.12
262,117.12
263,117.12
264,106.37
265,96.4
266,96.4
267,96.4
268,96.4
269,96.4
270,102.6
271,117.1
272,117.1
273,117.1
274,103.91
275,82.67
276,82.67
277,82.67
278,82.67
279,82.67
280,86.67
281,126.32
282,126.32
283,126.32
284,126.32
285,126.32
286,126.32
287,126.32
288,125.06
289,121.96
290,104.34
291,104.34
292,104.34
293,104.34
294,104.34
295,125.06
296,181.65
297,188.04
298,189.11
299,196.9
300,282.98
301,282.98
302,288.48
303,319.98
304,319.98
305,319.98
306,319.98
307,319.98
308,319.98
309,319.98
310,319.98
311,319.98
312,319.98
313,289.38
314,282.98
315,282.98
316,282.98
317,282.98
318,282.98
319,282.98
320,282.98
321,282.98
322,185.63
323,150.0
324,131.63
325,131.63
326,131.63
327,131.63
328,131.63
329,149.95
330,158.06
331,158.06
332,155.22
333,152.13
334,145.48
335,131.63
336,129.01
337,129.01
338,129.01
339,129.01
340,129.01
341,129.01
342,129.01
343,129.01
344,149.76
345,156.8
346,161.62
347,161.62
348,282.98
349,282.98
350,239.07
351,282.98
352,282.98
353,319.98
354,319.98
355,319.98
356,319.98
357,319.98
358,319.98
359,319.98
360,288.48
361,277.87
362,277.87
363,277.87
364,277.87
365,277.87
366,303.03
367,471.68
368,471.68
369,471.68
370,471.68
371,471.68
372,401.35
373,401.35
374,401.35
375,401.35
376,401.35
377,471.68
378,471.68
379,471.68
380,471.68
381,471.68
382,471.68
383,471.68
384,350.22
385,346.72
386,346.72
387,346.72
388,346.72
389,346.72
390,346.72
391,346.72
392,408.11
393,408.16
394,408.16
395,346.72
396,346.72
397,346.72
398,346.72
399,346.72
400,350.22
401,505.05
402,505.21
403,505.21
404,505.21
405,505.21
406,505.21
407,505.21
408,473.84
409,430.18
410,430.18
411,430.18
412,430.18
413,430.18
414,430.18
415,434.52
416,525.93
417,531.35
418,525.93
419,525.93
420,473.84
421,471.47
422,471.47
423,500.0
424,899.91
425,950.0
426,950.0
427,950.0
428,950.0
429,950.0
430,950.0
431,950.0
432,950.0
433,900.0
434,900.0
435,900.0
436,812.7
437,812.7
438,812.7
439,950.0
440,950.0
441,950.0
442,950.0
443,950.0
444,772.34
445,772.34
446,772.34
447,772.34
448,900.0
449,903.07
450,903.07
451,903.07
452,903.07
453,900.0
454,900.0
455,525.93
456,303.03
457,277.87
458,277.87
459,277.87
460,277.87
461,277.87
462,277.87
463,282.54
464,328.11
465,282.54
466,170.7
467,122.82
468,99.65
469,99.65
470,97.64
471,99.65
472,99.65
473,105.62
474,94.88
475,115.33
476,115.33
477,99.65
478,85.32
479,95.05
480,85.03
481,80.81
482,79.2
483,79.2
484,79.2
485,79.2
486,79.2
487,79.2
488,79.2
489,79.2
490,79.2
491,79.2
492,79.2
493,79.2
494,79.2
495,79.2
496,80.81
497,97.1
498,97.1
499,97.1
500,97.1
501,84.16
502,97.1
503,83.3
504,75.26
505,75.26
506,75.26
507,75.26
508,75.26
509,75.26
510,75.26
511,75.26
512,77.6
513,80.0
514,78.4
515,75.83
516,75.26
517,75.26
518,75.26
519,75.26
520,78.41
521,79.2
522,80.28
523,75.26
524,75.26
525,80.28
526,75.26
527,75.26
528,75.26
529,70.4
530,56.81
531,70.4
532,69.7
533,69.0
534,70.4
535,70.4
536,70.4
537,70.4
538,70.4
539,70.4
540,52.34
541,52.34
542,52.34
543,52.34
544,52.87
545,65.86
546,65.86
547,65.86
548,65.86
549,65.86
550,65.86
551,52.34
552,52.34
553,52.34
554,52.34
555,52.34
556,52.34
557,52.34
558,52.34
559,64.09
560,65.86
561,65.86
562,65.86
563,52.34
564,45.4
565,40.71
566,40.71
567,41.53
568,45.4
569,52.34
570,52.34
571,52.34
572,52.34
573,52.34
574,45.4
575,45.4
576,44.8
577,39.13
578,39.13
579,39.13
580,39.13
581,39.13
582,39.13
583,45.4
584,45.4
585,50.5
586,50.5
587,45.4
588,39.13
589,39.13
590,39.13
591,44.8
592,45.4
593,50.5
594,50.5
595,50.5
596,50.5
597,50.5
598,45.4
599,45.4
600,39.13
601,38.73
602,38.73
603,38.73
604,38.73
605,38.73
606,38.73
607,45.4
608,49.24
609,50.03
610,45.45
611,44.8
612,38.73
613,38.73
614,38.73
615,41.24
616,52.34
617,52.34
618,52.34
619,52.34
620,52.34
621,52.34
622,52.34
623,52.34
624,52.34
625,45.4
626,45.4
627,45.4
628,44.8
629,34.75
630,41.24
631,45.4
632,45.4
633,45.4
634,44.5
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,5.0
643,5.0
644,5.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,5.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,43.6
688,45.4
689,52.34
690,68.29
691,69.0
692,69.7
693,70.4
694,70.4
695,70.4
696,70.4
697,52.26
698,52.26
699,52.26
700,52.26
701,52.26
702,52.26
703,52.26
704,52.26
705,52.26
706,52.26
707,45.34
708,45.34
709,34.69
710,34.69
711,34.69
712,34.69
713,34.69
714,45.34
715,45.34
716,45.34
717,44.73
718,34.17
719,34.17
720,34.17
721,34.17
722,34.17
723,34.17
724,34.17
725,34.17
726,34.17
727,44.55
728,44.73
729,44.73
730,44.73
731,34.17
732,34.17
733,34.17
734,34.17
735,34.17
736,45.34
737,45.34
738,45.34
739,45.34
740,45.34
741,45.34
742,45.34
743,45.34
744,34.23
745,34.17
746,34.17
747,34.17
