t,value
1,49.62
2,44.56
3,44.56
4,44.55
5,44.55
6,44.55
7,44.55
8,45.0
9,45.01
10,44.56
11,44.55
12,44.55
13,44.55
14,44.55
15,50.63
16,50.63
17,51.14
18,51.14
19,51.14
20,51.14
21,50.63
22,50.63
23,50.63
24,50.63
25,16.75
26,16.75
27,16.75
28,16.75
29,16.75
30,16.75
31,16.75
32,22.64
33,22.64
34,22.64
35,16.75
36,16.75
37,16.75
38,16.75
39,44.55
40,50.12
41,50.63
42,50.63
43,50.63
44,50.63
45,50.63
46,50.63
47,50.63
48,50.63
49,50.63
50,50.63
51,50.63
52,50.63
53,50.63
54,50.63
55,50.63
56,59.18
57,70.89
58,59.19
59,53.24
60,52.6
61,52.6
62,52.72
63,67.11
64,107.04
65,116.18
66,118.6
67,118.6
68,118.6
69,117.63
70,116.18
71,116.18
72,107.04
73,99.0
74,95.67
75,95.67
76,95.67
77,95.67
78,95.67
79,116.14
80,116.17
81,116.18
82,116.17
83,94.48
84,85.97
85,85.97
86,85.97
87,86.65
88,103.28
89,116.18
90,116.18
91,116.18
92,116.18
93,116.17
94,116.17
95,116.16
96,105.0
97,54.14
98,51.14
99,50.63
100,50.63
101,50.63
102,50.63
103,50.63
104,51.14
105,51.14
106,50.63
107,50.63
108,50.63
109,50.63
110,50.63
111,50.63
112,51.14
113,56.25
114,56.25
115,51.14
116,50.63
117,50.63
118,50.63
119,50.63
120,50.63
121,50.63
122,50.63
123,50.63
124,50.63
125,50.63
126,45.91
127,45.91
128,50.63
129,50.63
130,50.63
131,44.56
132,44.55
133,44.55
134,44.55
135,49.62
136,50.63
137,50.63
138,50.63
139,50.63
140,50.63
141,50.63
142,50.63
143,50.63
144,50.63
145,49.62
146,44.56
147,44.56
148,44.55
149,44.55
150,44.55
151,44.55
152,45.0
153,45.01
154,44.56
155,44.55
156,44.55
157,44.55
158,44.55
159,50.63
160,50.63
161,51.14
162,51.14
163,51.14
164,51.14
165,50.63
166,50.63
167,50.63
168,50.63
169,50.12
170,50.12
171,50.12
172,50.12
173,50.12
174,50.12
175,50.63
176,50.63
177,50.71
178,51.14
179,51.14
180,51.14
181,51.14
182,51.66
183,52.18
184,52.72
185,54.35
186,56.25
187,54.88
188,53.79
189,52.18
190,51.14
191,51.14
192,50.63
193,50.63
194,50.63
195,50.63
196,50.63
197,50.63
198,50.63
199,51.14
200,98.13
201,103.32
202,103.32
203,92.98
204,92.98
205,92.98
206,92.99
207,105.0
208,112.44
209,112.44
210,112.44
211,112.44
212,112.44
213,112.44
214,107.55
215,96.68
216,83.21
217,83.21
218,83.21
219,83.21
220,83.21
221,83.21
222,83.21
223,96.67
224,116.17
225,116.17
226,116.17
227,106.47
228,105.0
229,107.54
230,111.35
231,116.18
232,116.18
233,116.18
234,116.18
