t,gas_price,power_price,chp.bin,chp.gas,chp.power,chp.heat,electrical_grid.overall_power,electrical_grid.supply_power,electrical_grid.feedin_power,battery_storage.power_balance,battery_storage.charging_power,battery_storage.discharging_power,battery_storage.energy_content,battery_storage.discharge_bin,battery_storage.charge_bin,battery_storage.switch_bin,pv.power,electrolyzer.bin,electrolyzer.hydrogen,electrolyzer.power,electrolyzer.water,electrolyzer.heat,hydrogen_grid.overall_hydrogen,hydrogen_grid.supply_hydrogen,hydrogen_grid.feedin_hydrogen,hydrogen_storage.hydrogen_balance,hydrogen_storage.charging_hydrogen,hydrogen_storage.discharging_hydrogen,hydrogen_storage.hydrogen_content,hydrogen_storage.charge_bin,hydrogen_storage.discharge_bin,arc1_expanded.power,arc2_expanded.power,arc3_expanded.power,arc4_expanded.power,arc5_expanded.power,arc6_expanded.hydrogen,arc8_expanded.hydrogen
1,57.428,106.85,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,300.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2,57.428,105.25,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,200.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,600.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
3,57.428,105.25,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,300.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,900.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
4,57.428,103.92,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,400.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
5,57.428,100.7,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,500.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,1500.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
6,57.428,100.7,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,600.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,-0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
7,57.428,100.7,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,700.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
8,57.428,100.7,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,800.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
9,57.428,127.0,0.0,0.0,0.0,0.0,-100.00000000000003,0.0,100.00000000000003,99.80204000000003,0.0,99.80204000000003,700.19796,1.0,-0.0,1.0,0.19796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1.0,0.0,0.0,0.19796,99.80204000000003,0.0,0.0,0.0,0.0
10,57.428,127.0,0.0,0.0,0.0,0.0,-100.00000000000003,0.0,100.00000000000003,99.50216000000003,0.0,99.50216000000003,600.6958,1.0,-0.0,-0.0,0.49784,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,1800.0,1.0,0.0,0.0,0.49784,99.50216000000003,0.0,0.0,0.0,0.0
11,57.428,123.44,0.0,0.0,0.0,0.0,99.05332000000004,99.30420000000004,0.25088,-99.30420000000004,99.30420000000004,0.0,700.0,0.0,1.0,1.0,0.25088,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,2100.0,1.0,0.0,0.0,0.25088,0.0,99.30420000000004,0.0,0.0,0.0
12,57.428,123.43,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,2400.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
13,57.428,123.43,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,900.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,2700.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
14,57.428,123.43,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,1000.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,3000.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
15,57.428,127.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,57.428,146.28,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,900.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
17,57.428,175.38,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,800.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
18,57.428,175.38,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,700.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
19,57.428,175.38,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,600.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
20,57.428,175.38,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,500.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
21,57.428,136.14,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,400.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
22,57.428,134.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,57.428,115.74,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,500.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
24,57.428,109.15,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,600.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
25,57.428,135.79,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,500.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
26,57.428,128.08,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,600.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
27,57.428,126.71,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,700.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
28,57.428,126.71,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,800.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
29,57.428,126.71,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,900.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
30,57.428,126.75,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,1000.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
31,57.428,146.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,57.428,163.93,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,900.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
33,57.428,207.05,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,800.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
34,57.428,207.05,0.0,0.0,0.0,0.0,-100.00000000000001,0.0,100.00000000000001,99.86378000000002,0.0,99.86378000000002,700.13622,1.0,-0.0,-0.0,0.13622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0,0.0,0.0,0.13622,99.86378000000002,0.0,0.0,0.0,0.0
35,57.428,171.27,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,600.13622,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,300.0,0.0,300.0,2700.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,300.0
36,57.428,153.24,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,500.13622,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,300.0,0.0,300.0,2400.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,300.0
37,57.428,153.24,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,400.13622,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,300.0,0.0,300.0,2100.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,300.0
38,57.428,153.24,1.0,258.3333333333333,100.0,133.33333333333331,-100.0,0.0,100.0,0.0,0.0,0.0,400.13622,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
39,57.428,168.86,0.0,0.0,0.0,0.0,-100.00000000000003,0.0,100.00000000000003,99.98334000000003,0.0,99.98334000000003,300.15288,1.0,-0.0,-0.0,0.01666,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,300.0,0.0,300.0,1800.0,-0.0,1.0,0.0,0.01666,99.98334000000003,0.0,0.0,0.0,300.0
40,57.428,200.77,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,200.15287999999998,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
41,57.428,207.05,1.0,258.3333333333333,100.0,133.33333333333331,-100.0,0.0,100.0,0.0,0.0,0.0,200.15287999999998,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,300.0,0.0,300.0,1500.0,-0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,300.0
42,57.428,207.05,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,100.15287999999998,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
43,57.428,207.05,1.0,258.3333333333333,100.0,133.33333333333331,-100.0,0.0,100.0,0.0,0.0,0.0,100.15287999999998,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,1800.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
44,57.428,207.05,1.0,258.3333333333333,100.0,133.33333333333331,-100.0,0.0,100.0,0.0,0.0,0.0,100.15287999999998,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,-0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
45,57.428,164.09,1.0,258.3333333333333,100.0,133.33333333333331,-100.0,0.0,100.0,0.0,0.0,0.0,100.15287999999998,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,-0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
46,57.428,152.94,0.0,0.0,0.0,0.0,-100.0,0.0,100.0,100.0,0.0,100.0,0.15287999999998192,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,-0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
47,57.428,147.24,0.0,0.0,0.0,0.0,-0.15287999999998192,0.0,0.15287999999998192,0.15287999999998192,0.0,0.15287999999998192,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,-0.0,1.0,0.0,0.0,0.15287999999998192,0.0,0.0,0.0,0.0
48,57.428,138.1,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,-0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
49,57.428,135.79,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,200.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,-300.0,300.0,0.0,2100.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
50,57.428,123.66,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,300.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,300.0,0.0,300.0,1800.0,-0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,300.0
51,57.428,116.9,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-100.0,100.0,0.0,400.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,300.0,300.0,0.0,300.0,1500.0,-0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,300.0
