t,value
1,38.98
2,35.0
3,34.65
4,34.65
5,34.65
6,34.65
7,34.65
8,34.65
9,35.72
10,34.65
11,34.65
12,34.65
13,34.65
14,34.65
15,39.38
16,39.38
17,39.38
18,39.38
19,39.38
20,39.38
21,39.38
22,39.38
23,39.38
24,39.38
25,38.99
26,38.99
27,38.99
28,38.98
29,38.42
30,38.98
31,39.38
32,39.38
33,39.38
34,39.38
35,39.38
36,39.38
37,39.38
38,39.38
39,39.38
40,39.38
41,39.38
42,39.78
43,39.38
44,39.38
45,39.38
46,39.38
47,39.38
48,39.38
49,39.38
50,39.38
51,39.38
52,39.38
53,39.38
54,39.38
55,39.38
56,39.78
57,40.19
58,39.78
59,39.78
60,39.38
61,39.38
62,39.78
63,39.78
64,41.0
65,43.75
66,43.75
67,43.75
68,43.75
69,41.0
70,40.19
71,39.78
72,39.38
73,39.38
74,39.38
75,39.38
76,39.38
77,39.38
78,39.38
79,41.0
80,86.43
81,86.43
82,86.43
83,69.68
84,68.15
85,69.68
86,70.09
87,86.43
88,86.43
89,91.05
90,91.05
91,91.05
92,89.24
93,86.43
94,86.43
95,86.43
96,41.84
97,39.78
98,39.38
99,39.38
100,39.38
101,39.38
102,39.38
103,39.78
104,43.75
105,43.75
106,39.78
107,39.38
108,39.38
109,39.38
110,39.38
111,39.38
112,39.38
113,39.38
114,39.38
115,39.38
116,39.38
117,39.38
118,39.38
119,39.38
120,39.38
121,39.38
122,39.38
123,39.38
124,39.38
125,39.38
126,39.38
127,39.38
128,39.38
129,39.38
130,39.38
131,39.38
132,39.38
133,39.38
134,39.38
135,39.38
136,40.59
137,59.37
138,62.85
139,62.21
140,62.21
141,53.21
142,39.78
143,39.78
144,39.38
145,39.38
146,39.38
147,39.38
148,39.78
149,39.78
150,39.78
151,39.78
152,41.65
153,43.29
154,41.83
155,39.78
156,39.78
157,39.78
158,40.6
159,52.51
160,53.21
161,53.21
162,42.27
163,39.78
164,39.38
165,39.38
166,39.38
167,39.38
168,39.38
169,38.99
170,38.98
171,38.42
172,38.42
173,38.98
174,38.59
175,38.98
176,38.98
177,38.99
178,38.99
179,38.99
180,38.98
181,38.98
182,38.98
183,38.59
184,38.99
185,39.38
186,39.38
187,39.38
188,39.38
189,39.38
190,39.38
191,39.38
192,39.38
193,39.78
194,39.78
195,39.78
196,39.78
197,39.78
198,41.0
199,91.18
200,91.18
201,91.18
202,91.18
203,91.18
204,91.18
205,91.18
206,91.18
207,91.18
208,91.18
209,91.18
210,91.18
211,91.18
212,90.26
213,42.17
214,41.01
215,41.0
216,40.19
217,40.19
218,40.19
219,40.19
220,40.19
221,40.19
222,40.19
223,40.6
224,44.66
225,54.31
226,43.34
227,40.19
228,40.19
229,40.19
230,40.19
231,40.19
232,41.01
233,44.02
234,90.14
235,64.93
236,64.93
237,55.04
238,53.59
239,53.03
240,40.19
241,39.78
242,39.38
243,39.38
244,39.38
245,39.38
246,39.38
247,39.38
248,41.94
249,91.05
250,91.17
251,87.59
252,87.56
253,73.83
254,81.95
255,88.2
256,91.18
257,91.18
258,91.18
259,91.18
260,91.18
261,91.18
262,91.18
263,91.18
264,90.14
265,82.9
266,85.79
267,82.66
268,79.6
269,82.05
270,82.05
271,91.17
272,91.18
273,91.18
274,84.34
275,59.7
276,40.97
277,40.97
278,40.97
279,40.97
280,67.47
281,91.17
282,91.17
283,88.44
284,91.17
285,91.17
286,91.17
287,91.17
288,86.13
289,68.38
290,67.47
291,67.47
292,67.47
293,67.47
294,67.47
295,91.18
296,91.18
297,91.18
298,91.18
299,91.18
300,91.18
301,94.93
302,94.94
303,111.11
304,111.11
305,111.11
306,111.11
307,111.11
308,111.11
309,111.11
310,105.01
311,105.0
312,94.93
313,93.03
314,91.18
315,91.18
316,91.18
317,91.18
318,91.18
319,91.18
320,91.18
321,91.18
322,91.18
323,91.18
324,91.18
325,91.18
326,91.18
327,91.17
328,88.46
329,91.18
330,91.18
331,91.18
332,91.18
333,91.18
334,91.05
335,88.44
336,82.22
337,82.22
338,82.22
339,82.22
340,82.27
341,86.56
342,87.71
343,90.26
344,91.18
345,92.09
346,100.14
347,95.89
348,93.06
349,93.04
350,94.0
351,95.91
352,106.42
353,115.74
354,123.21
355,123.21
356,123.21
357,111.11
358,111.11
359,105.0
360,93.97
361,92.1
362,91.18
363,91.18
364,91.18
365,91.18
366,93.03
367,125.54
368,126.03
369,126.03
370,126.03
371,105.06
372,98.15
373,92.9
374,92.9
375,92.9
376,104.33
377,126.03
378,126.64
379,126.24
380,126.03
381,125.54
382,122.87
383,116.44
384,105.01
385,92.13
386,92.13
387,92.13
388,92.13
389,92.13
390,92.13
391,92.13
392,120.01
393,120.21
394,121.61
395,112.01
396,94.64
397,94.64
398,94.64
399,93.97
400,95.6
401,113.85
402,121.25
403,121.25
404,121.24
405,119.96
406,116.39
407,105.01
408,97.43
409,92.13
410,92.13
